,Title,Rating,Price,Number of Ratings and Reviews
0,"Apple AirPods(2nd gen) with Charging Case Bluetooth Headset with Mic  (White, True Wireless)",4.5,"₹10,999","1,14,683 Ratings & 6,809 Reviews"
1,"APPLE AirPods Pro (2nd generation) Bluetooth Headset  (White, True Wireless)",4.5,"₹24,990","1,746 Ratings & 153 Reviews"
2,"APPLE Airpods Pro with MagSafe Charging Case Bluetooth Headset  (White, True Wireless)",4.5,"₹21,009","54,775 Ratings & 3,641 Reviews"
3,"APPLE AirPods (3rd generation) with Lightning Charging Case Bluetooth Headset  (White, True Wireless)",4.3,"₹19,100",306 Ratings & 9 Reviews
4,"APPLE New AirPods Max Bluetooth Headset  (Pink, On the Ear)",4.5,"₹59,900",434 Ratings & 27 Reviews
5,"APPLE AirPods (3rd generation) Bluetooth Headset  (White, True Wireless)",4.3,"₹19,600","2,693 Ratings & 180 Reviews"
6,"APPLE New AirPods Max Bluetooth Headset  (Green, On the Ear)",4.5,"₹59,900",434 Ratings & 27 Reviews
7,"APPLE New AirPods Max Bluetooth Headset  (Silver, On the Ear)",4.5,"₹59,900",434 Ratings & 27 Reviews
8,"Apple AirPods with Wireless Charging Case Bluetooth Headset with Mic  (White, True Wireless)",4.5,"₹13,990","1,14,683 Ratings & 6,809 Reviews"
9,"Rudra Tech M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Playtime, Headphones Bluetooth Headset  (Black, In the Ear)",4.8,₹537,(5)
10,"TEG EARBUDS SMALL SIZE, SUPER LIGHTWEIGHT earphone Bluetooth Headset Bluetooth Headset  (White, In the Ear)",3.6,₹475,207 Ratings & 13 Reviews
11,"Chitransh i12 Bluetooth Headset  (White, True Wireless)",3.6,₹419,844 Ratings & 83 Reviews
12,"LONGWINGS Deep Bass Bluetooth 5.2 Light Weight with Wireless Charging Case Bluetooth Headset  (White, True Wireless)",3.7,₹498,178 Ratings & 11 Reviews
13,"Mestie i12 tws earpods Bluetooth Headset 91 Bluetooth Headset  (White, True Wireless)",3.9,₹406,35 Ratings & 3 Reviews
14,"Mestie i12 Bluetooth Earphones 5.0 Latest Model Bluetooth Headset  (White, True Wireless)",3,₹436,4 Ratings & 0 Reviews
15,"Mestie i12Twins Bluetooth Headset Wireless Earbuds 22 Bluetooth Headset  (White, True Wireless)",3,₹402,9 Ratings & 0 Reviews
16,"Mestie Bluetooth Earphones I12 TWS with in Built Mic Bluetooth headset 60 Bluetooth Headset  (White, True Wireless)",4.7,₹429,(580)
17,"Makzee GAMER XP2023-HD, High Density, Premium, With RGB Lights (made In India) Bluetooth Headset  (Black, True Wireless)",4.5,₹649,(4)
18,"Auratic M 10 TWS 5.0 Bluetooth Earphones 3500mAh Charging Box Wireless Headphone Bluetooth Headset  (Black, In the Ear)",3.8,₹458,26 Ratings & 0 Reviews
19,"Makzee SUPER BLASTER MAKE IN INDIA 40hrs Playtime, Latest BT Wireless MiniPods Bluetooth Headset  (Blue, True Wireless)",4.1,₹699,142 Ratings & 3 Reviews
20,"Mestie i12 earbuds headset Bluetooth Headset  (White, True Wireless)",3.9,₹414,7 Ratings & 0 Reviews
21,"snowbudy 7PRO TWS Earbuds Movie Mode 48Hrs Total Playtime Bluetooth 5.0 Wireless Earbuds Bluetooth Headset  (Black, True Wireless)",4.2,₹749,26 Ratings & 0 Reviews
22,"Zavia Infant 30 Hrs Playtime Earbuds TWS 300 mAh Touch Control Fast Charging and 5.1 Bluetooth Headset  (Black, True Wireless)",3.9,₹699,88 Ratings & 10 Reviews
23,"MAHAVEER TRADERS M90 Tws Pro Earbuds Wireless Bletooth Earbuds & Powerbank Bluetooth Headset  (Black, In the Ear)",3.5,₹576,12 Ratings & 1 Reviews
24,"MAGENESE M10 TWS EarBuds Touch Control Bluetooth Headset Bluetooth Headset  (Black, True Wireless)",3.8,₹529,198 Ratings & 16 Reviews
25,"TRUETAG M19 TWS Bluetooth 5.1 Wireless Earbuds With 2200 mAh Power Bank (True Wireless) Bluetooth Headset  (Black, In the Ear)",3.4,₹671,521 Ratings & 25 Reviews
26,"MAGENESE Premium TWS M19 Earbuds LED Display Touch Control Headphones with powerbank Bluetooth Headset  (Black, True Wireless)",3,₹549,4 Ratings & 0 Reviews
27,"FLIXWISE TWS Earbuds Full Touch Control, HD Audio 24Hrs Playtime With Superfast Charging Bluetooth Headset  (White, True Wireless)",3.2,₹599,37 Ratings & 3 Reviews
28,"Makzee SUPER BLASTER MAKE IN INDIA 40hrs Playtime, Latest BT Wireless MiniPods Bluetooth Headset  (White, True Wireless)",4.1,₹699,142 Ratings & 3 Reviews
29,"Makzee SUPER BLASTER MAKE IN INDIA 40hrs Playtime, Latest BT Wireless MiniPods Bluetooth Headset  (Pink, True Wireless)",4.1,₹699,142 Ratings & 3 Reviews
30,"Auratic Exclusive M10 TWS Wireless Headphones Touch Control LED Display B22 Bluetooth Headset  (Black, True Wireless)",3.3,₹451,3 Ratings & 0 Reviews
31,"MAGENESE Pro Edition M10 TWS Wireless Headphones Touch Control and LED K4 Bluetooth Bluetooth Headset  (Black, True Wireless)",4.1,₹519,16 Ratings & 0 Reviews
32,"Makzee MASTER MZ500-HD, Oval Type, High Density, Premium, (Made In India) Bluetooth Headset  (White, True Wireless)",3.5,₹711,17 Ratings & 0 Reviews
33,"FLIXWISE Earbuds M10 Upto 48 Hours Playback with Power-Bank and ASAP Charge Wireless Bluetooth Headset  (Black, True Wireless)",4.3,₹659,(5)
34,"Rudra Tech M10 TWS Bluetooth 5.1 Headset 9D Stereo Sports Waterproof Earbuds Headset Bluetooth Headset  (Black, True Wireless)",4,₹458,25 Ratings & 2 Reviews
35,"Zavia Infant 30 Hrs Playtime Earbuds TWS 300 mAh Touch Control Fast Charging and 5.1 Bluetooth Headset  (White, True Wireless)",3.9,₹699,88 Ratings & 10 Reviews
36,"Makzee Swift MZ974 Premium, HD Sound, Wireless, Lightweight Neckband Bluetooth Headset  (BLACK-BLACK, In the Ear)",4.5,₹379,
37,"MAGENESE M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Playtime, Headphones with Power Bank Bluetooth Headset  (Black, True Wireless)",2.6,₹549,5 Ratings & 1 Reviews
38,"TRUETAG Earbuds M19 PRO with Power Bank Upto 150 Hours Playback Bluetooth Headset  (Black, In the Ear)",3.4,₹671,72 Ratings & 5 Reviews
39,"FLIXWISE i12 Sports/Gym/Running Bluetooth earphone Wireless with mic Bluetooth earbuds Bluetooth Headset  (Black, True Wireless)",3.9,₹649,7 Ratings & 0 Reviews
